,Sentence #,Word,Pos,Tag
3192,Sentence 257,on,IN,O
3193,Sentence 257,october,NNP,B-depart_date.month_name
3194,Sentence 257,fifteenth,JJ,B-depart_date.day_number
3195,Sentence 257,1991,CD,B-depart_date.year
3196,Sentence 258,show,VB,O
3197,Sentence 258,me,PRP,O
3198,Sentence 258,the,DT,O
3199,Sentence 258,cheapest,JJS,B-cost_relative
3200,Sentence 258,one,CD,B-round_trip
3201,Sentence 258,way,NN,I-round_trip
3202,Sentence 258,fare,NN,O
3203,Sentence 258,from,IN,O
3204,Sentence 258,san,JJ,B-fromloc
3205,Sentence 258,francisco,NN,I-fromloc
3206,Sentence 258,to,TO,O
3207,Sentence 258,houston,VB,B-toloc
3208,Sentence 258,on,IN,O
3209,Sentence 258,february,JJ,B-depart_date.month_name
3210,Sentence 258,twenty,NN,B-depart_date.day_number
3211,Sentence 258,eighth,NN,I-depart_date.day_number
3212,Sentence 258,1994,CD,B-depart_date.year
3213,Sentence 259,what,WP,O
3214,Sentence 259,first,JJ,B-class_type
3215,Sentence 259,class,NN,I-class_type
3216,Sentence 259,flights,NNS,O
3217,Sentence 259,are,VBP,O
3218,Sentence 259,available,JJ,O
3219,Sentence 259,on,IN,O
3220,Sentence 259,july,NNS,B-depart_date.month_name
3221,Sentence 259,twenty,CD,B-depart_date.day_number
3222,Sentence 259,fifth,JJ,I-depart_date.day_number
3223,Sentence 259,1991,CD,B-depart_date.year
3224,Sentence 259,from,IN,O
3225,Sentence 259,denver,NN,B-fromloc
3226,Sentence 259,to,TO,O
3227,Sentence 259,baltimore,VB,B-toloc
3228,Sentence 260,which,WDT,O
3229,Sentence 260,of,IN,O
3230,Sentence 260,the,DT,O
3231,Sentence 260,flights,NNS,O
3232,Sentence 260,from,IN,O
3233,Sentence 260,pittsburgh,NN,B-fromloc
3234,Sentence 260,to,TO,O
3235,Sentence 260,baltimore,VB,B-toloc
3236,Sentence 260,on,IN,O
3237,Sentence 260,july,NN,B-depart_date.month_name
3238,Sentence 260,twenty,CD,B-depart_date.day_number
3239,Sentence 260,fifth,JJ,I-depart_date.day_number
3240,Sentence 260,1991,CD,B-depart_date.year
3241,Sentence 260,carries,VBZ,O
3242,Sentence 260,the,DT,O
3243,Sentence 260,smallest,JJS,B-mod
3244,Sentence 260,number,NN,O
3245,Sentence 260,of,IN,O
3246,Sentence 260,passengers,NNS,O
3247,Sentence 261,what,WDT,O
3248,Sentence 261,are,VBP,O
3249,Sentence 261,the,DT,O
3250,Sentence 261,flights,NNS,O
3251,Sentence 261,on,IN,O
3252,Sentence 261,january,NN,B-depart_date.month_name
3253,Sentence 261,first,RB,B-depart_date.day_number
3254,Sentence 261,1992,CD,B-depart_date.year
3255,Sentence 261,from,IN,O
3256,Sentence 261,boston,NN,B-fromloc
3257,Sentence 261,to,TO,O
3258,Sentence 261,san,VB,B-toloc
3259,Sentence 261,francisco,NN,I-toloc
3260,Sentence 262,what,WP,O
3261,Sentence 262,is,VBZ,O
3262,Sentence 262,the,DT,O
3263,Sentence 262,cost,NN,O
3264,Sentence 262,of,IN,O
3265,Sentence 262,a,DT,O
3266,Sentence 262,ticket,NN,O
3267,Sentence 262,going,VBG,O
3268,Sentence 262,from,IN,O
3269,Sentence 262,denver,NN,B-fromloc
3270,Sentence 262,to,TO,O
3271,Sentence 262,boston,VB,B-toloc
3272,Sentence 262,july,NNS,B-depart_date.month_name
3273,Sentence 262,twenty,CD,B-depart_date.day_number
3274,Sentence 262,fifth,JJ,I-depart_date.day_number
3275,Sentence 262,1991,CD,B-depart_date.year
3276,Sentence 263,what,WP,O
3277,Sentence 263,flights,NNS,O
3278,Sentence 263,are,VBP,O
3279,Sentence 263,available,JJ,O
3280,Sentence 263,from,IN,O
3281,Sentence 263,pittsburgh,NN,B-fromloc
3282,Sentence 263,to,TO,O
3283,Sentence 263,baltimore,VB,B-toloc
3284,Sentence 263,on,IN,O
3285,Sentence 263,july,NN,B-depart_date.month_name
3286,Sentence 263,twenty,CD,B-depart_date.day_number
3287,Sentence 263,fifth,NN,I-depart_date.day_number
3288,Sentence 263,1991,CD,B-depart_date.year
3289,Sentence 264,show,VB,O
3290,Sentence 264,me,PRP,O
3291,Sentence 264,all,PDT,O
3292,Sentence 264,the,DT,O
3293,Sentence 264,flights,NNS,O
3294,Sentence 264,from,IN,O
3295,Sentence 264,san,JJ,B-fromloc
3296,Sentence 264,francisco,NN,I-fromloc
3297,Sentence 264,to,TO,O
3298,Sentence 264,boston,VB,B-toloc
3299,Sentence 264,for,IN,O
3300,Sentence 264,august,NN,B-depart_date.month_name
3301,Sentence 264,thirty,NN,B-depart_date.day_number
3302,Sentence 264,first,RB,I-depart_date.day_number
3303,Sentence 264,1991,CD,B-depart_date.year
3304,Sentence 265,show,NN,O
3305,Sentence 265,all,DT,O
3306,Sentence 265,flights,NNS,O
3307,Sentence 265,from,IN,O
3308,Sentence 265,pittsburgh,NN,B-fromloc
3309,Sentence 265,to,TO,O
3310,Sentence 265,san,VB,B-toloc
3311,Sentence 265,francisco,NN,I-toloc
3312,Sentence 265,on,IN,O
3313,Sentence 265,july,NNS,B-depart_date.month_name
3314,Sentence 265,twenty,CD,B-depart_date.day_number
3315,Sentence 265,eighth,JJ,I-depart_date.day_number
3316,Sentence 265,1991,CD,B-depart_date.year
3317,Sentence 266,what,WP,O
3318,Sentence 266,economy,NN,B-economy
3319,Sentence 266,flights,NNS,O
3320,Sentence 266,are,VBP,O
3321,Sentence 266,available,JJ,O
3322,Sentence 266,from,IN,O
3323,Sentence 266,dallas,NNS,B-fromloc
3324,Sentence 266,to,TO,O
3325,Sentence 266,baltimore,VB,B-toloc
3326,Sentence 266,on,IN,O
3327,Sentence 266,july,NN,B-depart_date.month_name
3328,Sentence 266,twenty,CD,B-depart_date.day_number
3329,Sentence 266,fifth,NN,I-depart_date.day_number
3330,Sentence 266,1991,CD,B-depart_date.year
3331,Sentence 267,what,WP,O
3332,Sentence 267,first,JJ,B-class_type
3333,Sentence 267,class,NN,I-class_type
3334,Sentence 267,flights,NNS,O
3335,Sentence 267,are,VBP,O
3336,Sentence 267,available,JJ,O
3337,Sentence 267,from,IN,O
3338,Sentence 267,denver,NN,B-fromloc
3339,Sentence 267,to,TO,O
3340,Sentence 267,baltimore,VB,B-toloc
3341,Sentence 267,on,IN,O
3342,Sentence 267,july,NN,B-depart_date.month_name
3343,Sentence 267,twenty,CD,B-depart_date.day_number
3344,Sentence 267,fifth,NN,I-depart_date.day_number
3345,Sentence 267,1991,CD,B-depart_date.year
3346,Sentence 268,what,WDT,O
3347,Sentence 268,are,VBP,O
3348,Sentence 268,the,DT,O
3349,Sentence 268,flights,NNS,O
3350,Sentence 268,from,IN,O
3351,Sentence 268,philadelphia,NN,B-fromloc
3352,Sentence 268,to,TO,O
3353,Sentence 268,dallas,VB,B-toloc
3354,Sentence 268,on,IN,O
3355,Sentence 268,october,NN,B-depart_date.month_name
3356,Sentence 268,first,JJ,B-depart_date.day_number
3357,Sentence 268,1991,CD,B-depart_date.year
3358,Sentence 269,show,VB,O
3359,Sentence 269,me,PRP,O
3360,Sentence 269,the,DT,O
3361,Sentence 269,cheapest,JJS,B-cost_relative
3362,Sentence 269,round,NN,B-round_trip
3363,Sentence 269,trip,NN,I-round_trip
3364,Sentence 269,fare,NN,O
3365,Sentence 269,from,IN,O
3366,Sentence 269,san,JJ,B-fromloc
3367,Sentence 269,francisco,NN,I-fromloc
3368,Sentence 269,to,TO,O
3369,Sentence 269,houston,VB,B-toloc
3370,Sentence 269,on,IN,O
3371,Sentence 269,february,JJ,B-depart_date.month_name
3372,Sentence 269,twenty,NN,B-depart_date.day_number
3373,Sentence 269,eighth,NN,I-depart_date.day_number
3374,Sentence 269,1994,CD,B-depart_date.year
3375,Sentence 270,show,VB,O
3376,Sentence 270,me,PRP,O
3377,Sentence 270,fares,NNS,O
3378,Sentence 270,for,IN,O
3379,Sentence 270,flights,NNS,O
3380,Sentence 270,from,IN,O
3381,Sentence 270,minneapolis,NN,B-fromloc
3382,Sentence 270,to,TO,O
3383,Sentence 270,seattle,VB,B-toloc
3384,Sentence 270,on,IN,O
3385,Sentence 270,july,NN,B-depart_date.month_name
3386,Sentence 270,first,JJ,B-depart_date.day_number
3387,Sentence 270,1993,CD,B-depart_date.year
3388,Sentence 271,flight,NN,O
3389,Sentence 271,information,NN,O
3390,Sentence 271,on,IN,O
3391,Sentence 271,january,JJ,B-depart_date.month_name
3392,Sentence 271,twenty,NN,B-depart_date.day_number
3393,Sentence 271,third,JJ,I-depart_date.day_number
3394,Sentence 271,1992,CD,B-depart_date.year
3395,Sentence 271,from,IN,O
3396,Sentence 271,denver,NN,B-fromloc
3397,Sentence 271,to,TO,O
3398,Sentence 271,san,VB,B-toloc
3399,Sentence 271,francisco,NN,I-toloc
3400,Sentence 272,list,NN,O
3401,Sentence 272,the,DT,O
3402,Sentence 272,flights,NNS,O
3403,Sentence 272,and,CC,O
3404,Sentence 272,time,NN,B-flight_time
3405,Sentence 272,of,IN,I-flight_time
3406,Sentence 272,arrival,NN,I-flight_time
3407,Sentence 272,for,IN,O
3408,Sentence 272,flights,NNS,O
3409,Sentence 272,arriving,VBG,O
3410,Sentence 272,in,IN,O
3411,Sentence 272,dallas,NN,B-toloc
3412,Sentence 272,fort,NN,I-toloc
3413,Sentence 272,worth,NN,I-toloc
3414,Sentence 272,from,IN,O
3415,Sentence 272,boston,NN,B-fromloc
3416,Sentence 272,before,IN,B-arrive_time.time_relative
3417,Sentence 272,noon,NN,B-arrive_time.time
3418,Sentence 273,please,VB,O
3419,Sentence 273,give,VB,O
3420,Sentence 273,me,PRP,O
3421,Sentence 273,flight,NN,B-flight_time
3422,Sentence 273,schedules,NNS,I-flight_time
3423,Sentence 273,from,IN,O
3424,Sentence 273,baltimore,NN,B-fromloc
3425,Sentence 273,to,TO,O
3426,Sentence 273,philadelphia,VB,B-toloc
3427,Sentence 274,on,IN,O
3428,Sentence 274,united,JJ,B-airline_name
3429,Sentence 274,airlines,NNS,I-airline_name
3430,Sentence 274,give,VB,O
3431,Sentence 274,me,PRP,O
3432,Sentence 274,the,DT,O
3433,Sentence 274,flight,NN,B-flight_time
3434,Sentence 274,times,NNS,I-flight_time
3435,Sentence 274,from,IN,O
3436,Sentence 274,boston,NN,B-fromloc
3437,Sentence 274,to,TO,O
3438,Sentence 274,dallas,VB,B-toloc
3439,Sentence 275,i,NNS,O
3440,Sentence 275,need,VBP,O
3441,Sentence 275,to,TO,O
3442,Sentence 275,fly,VB,O
3443,Sentence 275,from,IN,O
3444,Sentence 275,boston,NN,B-fromloc
3445,Sentence 275,to,TO,O
3446,Sentence 275,baltimore,VB,B-toloc
3447,Sentence 275,please,NN,O
3448,Sentence 275,give,VB,O
3449,Sentence 275,me,PRP,O
3450,Sentence 275,the,DT,O
3451,Sentence 275,times,NNS,B-flight_time
3452,Sentence 275,of,IN,I-flight_time
3453,Sentence 275,your,PRP$,I-flight_time
3454,Sentence 275,flights,NNS,I-flight_time
3455,Sentence 275,in,IN,O
3456,Sentence 275,the,DT,O
3457,Sentence 275,morning,NN,B-depart_time.period_of_day
3458,Sentence 275,before,IN,B-depart_time.time_relative
3459,Sentence 275,8,CD,B-depart_time.time
3460,Sentence 275,o'clock,NN,I-depart_time.time
3461,Sentence 276,what,WP,O
3462,Sentence 276,is,VBZ,O
3463,Sentence 276,the,DT,O
3464,Sentence 276,schedule,NN,B-flight_time
3465,Sentence 276,for,IN,I-flight_time
3466,Sentence 276,flights,NNS,I-flight_time
3467,Sentence 276,between,IN,O
3468,Sentence 276,pittsburgh,NN,B-fromloc
3469,Sentence 276,and,CC,O
3470,Sentence 276,boston,NN,B-toloc
3471,Sentence 276,on,IN,O
3472,Sentence 276,the,DT,O
3473,Sentence 276,evening,NN,B-depart_time.period_of_day
3474,Sentence 276,of,IN,O
3475,Sentence 276,july,NN,B-depart_date.month_name
3476,Sentence 276,ninth,JJ,B-depart_date.day_number
3477,Sentence 277,please,VB,O
3478,Sentence 277,list,VB,O
3479,Sentence 277,the,DT,O
3480,Sentence 277,flight,NN,B-flight_time
3481,Sentence 277,times,NNS,I-flight_time
3482,Sentence 277,from,IN,O
3483,Sentence 277,pittsburgh,NN,B-fromloc
3484,Sentence 277,to,TO,O
3485,Sentence 277,newark,VB,B-toloc
3486,Sentence 278,us,PRP,B-airline_name
3487,Sentence 278,air,VBP,I-airline_name
3488,Sentence 278,269,CD,B-flight_number
3489,Sentence 278,leaving,VBG,O
3490,Sentence 278,boston,NN,B-fromloc
3491,Sentence 278,at,IN,O
3492,Sentence 278,428,CD,B-depart_time.time
3493,Sentence 278,what,WP,O
3494,Sentence 278,is,VBZ,O
3495,Sentence 278,the,DT,O
3496,Sentence 278,arrival,JJ,B-flight_time
3497,Sentence 278,time,NN,I-flight_time
3498,Sentence 278,in,IN,O
3499,Sentence 278,baltimore,NN,B-toloc
3500,Sentence 279,please,VB,O
3501,Sentence 279,give,VB,O
3502,Sentence 279,me,PRP,O
3503,Sentence 279,flight,NN,B-flight_time
3504,Sentence 279,schedules,NNS,I-flight_time
3505,Sentence 279,from,IN,O
3506,Sentence 279,pittsburgh,NN,B-fromloc
3507,Sentence 279,to,TO,O
3508,Sentence 279,philadelphia,VB,B-toloc
3509,Sentence 280,what,WDT,O
3510,Sentence 280,are,VBP,O
3511,Sentence 280,the,DT,O
3512,Sentence 280,departure,NN,B-flight_time
3513,Sentence 280,times,NNS,I-flight_time
3514,Sentence 280,from,IN,O
3515,Sentence 280,detroit,NN,B-fromloc
3516,Sentence 280,to,TO,O
3517,Sentence 280,westchester,VB,B-toloc
3518,Sentence 280,county,NN,I-toloc
3519,Sentence 281,what,WP,O
3520,Sentence 281,is,VBZ,O
3521,Sentence 281,the,DT,O
3522,Sentence 281,earliest,JJS,B-flight_mod
3523,Sentence 281,departure,NN,B-flight_time
3524,Sentence 281,time,NN,I-flight_time
3525,Sentence 281,from,IN,O
3526,Sentence 281,boston,NN,B-fromloc
3527,Sentence 281,to,TO,O
3528,Sentence 281,denver,VB,B-toloc
3529,Sentence 282,show,VB,O
3530,Sentence 282,me,PRP,O
3531,Sentence 282,the,DT,O
3532,Sentence 282,daily,JJ,B-flight_days
3533,Sentence 282,flight,NN,B-flight_time
3534,Sentence 282,schedule,NN,I-flight_time
3535,Sentence 282,between,IN,O
3536,Sentence 282,boston,NN,B-fromloc
3537,Sentence 282,and,CC,O
3538,Sentence 282,pittsburgh,NN,B-toloc
3539,Sentence 283,all,DT,O
3540,Sentence 283,right,JJ,O
3541,Sentence 283,give,VB,O
3542,Sentence 283,me,PRP,O
3543,Sentence 283,the,DT,O
3544,Sentence 283,flight,NN,B-flight_time
3545,Sentence 283,times,NNS,I-flight_time
3546,Sentence 283,in,IN,O
3547,Sentence 283,the,DT,O
3548,Sentence 283,morning,NN,B-depart_time.period_of_day
3549,Sentence 283,on,IN,O
3550,Sentence 283,september,NN,B-depart_date.month_name
3551,Sentence 283,twentieth,NN,B-depart_date.day_number
3552,Sentence 283,from,IN,O
3553,Sentence 283,pittsburgh,NN,B-fromloc
3554,Sentence 283,to,TO,O
3555,Sentence 283,san,VB,B-toloc
3556,Sentence 283,francisco,NN,I-toloc
3557,Sentence 284,please,VB,O
3558,Sentence 284,list,VB,O
3559,Sentence 284,the,DT,O
3560,Sentence 284,flight,NN,B-flight_time
3561,Sentence 284,times,NNS,I-flight_time
3562,Sentence 284,from,IN,O
3563,Sentence 284,boston,NN,B-fromloc
3564,Sentence 284,to,TO,O
3565,Sentence 284,pittsburgh,VB,B-toloc
3566,Sentence 285,what,WP,O
3567,Sentence 285,is,VBZ,O
3568,Sentence 285,the,DT,O
3569,Sentence 285,flight,NN,B-flight_time
3570,Sentence 285,schedule,NN,I-flight_time
3571,Sentence 285,of,IN,O
3572,Sentence 285,the,DT,O
3573,Sentence 285,f28,NN,B-aircraft_code
3574,Sentence 285,from,IN,O
3575,Sentence 285,pittsburgh,NN,B-fromloc
3576,Sentence 285,to,TO,O
3577,Sentence 285,baltimore,VB,B-toloc
3578,Sentence 286,what,WP,O
3579,Sentence 286,is,VBZ,O
3580,Sentence 286,the,DT,O
3581,Sentence 286,arrival,JJ,B-flight_time
3582,Sentence 286,time,NN,I-flight_time
3583,Sentence 286,in,IN,O
3584,Sentence 286,san,JJ,B-fromloc
3585,Sentence 286,francisco,NN,I-fromloc
3586,Sentence 286,for,IN,O
3587,Sentence 286,the,DT,O
3588,Sentence 286,755,CD,B-depart_time.time
3589,Sentence 286,am,VBP,I-depart_time.time
3590,Sentence 286,flight,NN,O
3591,Sentence 286,leaving,VBG,O
3592,Sentence 286,washington,NN,B-fromloc
3593,Sentence 287,show,VB,O
3594,Sentence 287,me,PRP,O
3595,Sentence 287,all,DT,O
3596,Sentence 287,flights,NNS,O
3597,Sentence 287,between,IN,O
3598,Sentence 287,san,JJ,B-fromloc
3599,Sentence 287,francisco,NN,I-fromloc
3600,Sentence 287,and,CC,O
3601,Sentence 287,philadelphia,NN,B-toloc
3602,Sentence 287,on,IN,O
3603,Sentence 287,september,JJ,B-depart_date.month_name
3604,Sentence 287,fifteenth,JJ,B-depart_date.day_number
3605,Sentence 287,with,IN,O
3606,Sentence 287,departure,NN,B-flight_time
3607,Sentence 287,time,NN,I-flight_time
3608,Sentence 287,after,IN,B-depart_time.time_relative
3609,Sentence 287,12,CD,B-depart_time.time
3610,Sentence 287,pm,NN,I-depart_time.time
3611,Sentence 288,list,NN,O
3612,Sentence 288,the,DT,O
3613,Sentence 288,flights,NNS,O
3614,Sentence 288,and,CC,O
3615,Sentence 288,departure,NN,B-flight_time
3616,Sentence 288,times,NNS,I-flight_time
3617,Sentence 288,for,IN,O
3618,Sentence 288,flights,NNS,O
3619,Sentence 288,leaving,VBG,O
3620,Sentence 288,dallas,NN,B-fromloc
3621,Sentence 288,fort,NN,I-fromloc
3622,Sentence 288,worth,NN,I-fromloc
3623,Sentence 288,for,IN,O
3624,Sentence 288,boston,NN,B-toloc
3625,Sentence 288,after,IN,B-depart_time.time_relative
3626,Sentence 288,6,CD,B-depart_time.time
3627,Sentence 288,pm,NN,I-depart_time.time
3628,Sentence 289,please,VB,O
3629,Sentence 289,list,VB,O
3630,Sentence 289,the,DT,O
3631,Sentence 289,flight,NN,B-flight_time
3632,Sentence 289,schedule,NN,I-flight_time
3633,Sentence 289,from,IN,O
3634,Sentence 289,baltimore,NN,B-fromloc
3635,Sentence 289,to,TO,O
3636,Sentence 289,san,VB,B-toloc
3637,Sentence 289,francisco,NN,I-toloc
3638,Sentence 289,on,IN,O
3639,Sentence 289,friday,JJ,B-depart_date.day_name
3640,Sentence 289,nights,NNS,B-depart_time.period_of_day
3641,Sentence 290,show,VB,O
3642,Sentence 290,me,PRP,O
3643,Sentence 290,the,DT,O
3644,Sentence 290,flight,NN,B-flight_time
3645,Sentence 290,schedule,NN,I-flight_time
3646,Sentence 290,from,IN,O
3647,Sentence 290,pittsburgh,NN,B-fromloc
3648,Sentence 290,to,TO,O
3649,Sentence 290,san,VB,B-toloc
3650,Sentence 290,francisco,NN,I-toloc
3651,Sentence 291,please,VB,O
3652,Sentence 291,give,VB,O
3653,Sentence 291,me,PRP,O
3654,Sentence 291,the,DT,O
3655,Sentence 291,flight,NN,B-flight_time
3656,Sentence 291,times,VBZ,I-flight_time
3657,Sentence 291,the,DT,O
3658,Sentence 291,morning,NN,B-depart_time.period_of_day
3659,Sentence 291,on,IN,O
3660,Sentence 291,united,JJ,B-airline_name
3661,Sentence 291,airlines,NNS,I-airline_name
3662,Sentence 291,for,IN,O
3663,Sentence 291,september,JJ,B-depart_date.month_name
3664,Sentence 291,twentieth,NN,B-depart_date.day_number
3665,Sentence 291,from,IN,O
3666,Sentence 291,philadelphia,NN,B-fromloc
3667,Sentence 291,to,TO,O
3668,Sentence 291,san,VB,B-toloc
3669,Sentence 291,francisco,NN,I-toloc
3670,Sentence 292,flights,NNS,O
3671,Sentence 292,and,CC,O
3672,Sentence 292,fares,NNS,O
3673,Sentence 292,from,IN,O
3674,Sentence 292,denver,NN,B-fromloc
3675,Sentence 292,to,TO,O
3676,Sentence 292,oakland,VB,B-toloc
3677,Sentence 293,please,VB,O
3678,Sentence 293,give,VB,O
3679,Sentence 293,me,PRP,O
3680,Sentence 293,a,DT,O
3681,Sentence 293,list,NN,O
3682,Sentence 293,of,IN,O
3683,Sentence 293,all,PDT,O
3684,Sentence 293,the,DT,O
3685,Sentence 293,flights,NNS,O
3686,Sentence 293,between,IN,O
3687,Sentence 293,dallas,NNS,B-fromloc
3688,Sentence 293,and,CC,O
3689,Sentence 293,baltimore,NN,B-toloc
3690,Sentence 293,and,CC,O
3691,Sentence 293,their,PRP$,O
3692,Sentence 293,cost,NN,O
3693,Sentence 294,i,NNS,O
3694,Sentence 294,need,VBP,O
3695,Sentence 294,a,DT,O
3696,Sentence 294,round,NN,B-round_trip
3697,Sentence 294,trip,NN,I-round_trip
3698,Sentence 294,from,IN,O
3699,Sentence 294,phoenix,NN,B-fromloc
3700,Sentence 294,to,TO,O
3701,Sentence 294,washington,VB,B-toloc
3702,Sentence 294,dc,NN,B-toloc
3703,Sentence 294,and,CC,O
3704,Sentence 294,the,DT,O
3705,Sentence 294,fare,NN,O
3706,Sentence 294,leaving,VBG,O
3707,Sentence 294,in,IN,O
3708,Sentence 294,the,DT,O
3709,Sentence 294,morning,NN,B-depart_time.period_of_day
3710,Sentence 295,list,NN,O
3711,Sentence 295,all,DT,O
3712,Sentence 295,flights,NNS,O
3713,Sentence 295,and,CC,O
3714,Sentence 295,their,PRP$,O
3715,Sentence 295,fares,NNS,O
3716,Sentence 295,from,IN,O
3717,Sentence 295,indianapolis,NN,B-fromloc
3718,Sentence 295,to,TO,O
3719,Sentence 295,memphis,VB,B-toloc
3720,Sentence 295,on,IN,O
3721,Sentence 295,a,DT,O
3722,Sentence 295,monday,JJ,B-depart_date.day_name
3723,Sentence 295,morning,NN,B-depart_time.period_of_day
3724,Sentence 296,all,DT,O
3725,Sentence 296,flights,NNS,O
3726,Sentence 296,and,CC,O
3727,Sentence 296,fares,NNS,O
3728,Sentence 296,from,IN,O
3729,Sentence 296,dallas,NNS,B-fromloc
3730,Sentence 297,show,VB,O
3731,Sentence 297,me,PRP,O
3732,Sentence 297,all,DT,O
3733,Sentence 297,flights,NNS,O
3734,Sentence 297,and,CC,O
3735,Sentence 297,fares,NNS,O
3736,Sentence 297,from,IN,O
3737,Sentence 297,denver,NN,B-fromloc
3738,Sentence 297,to,TO,O
3739,Sentence 297,san,VB,B-toloc
3740,Sentence 297,francisco,NN,I-toloc
3741,Sentence 298,what,WDT,O
3742,Sentence 298,are,VBP,O
3743,Sentence 298,the,DT,O
3744,Sentence 298,flights,NNS,O
3745,Sentence 298,and,CC,O
3746,Sentence 298,fares,NNS,O
3747,Sentence 298,from,IN,O
3748,Sentence 298,boston,NN,B-fromloc
3749,Sentence 298,to,TO,O
3750,Sentence 298,philadelphia,VB,B-toloc
3751,Sentence 299,what,WDT,O
3752,Sentence 299,are,VBP,O
3753,Sentence 299,the,DT,O
3754,Sentence 299,flights,NNS,O
3755,Sentence 299,and,CC,O
3756,Sentence 299,fares,NNS,O
3757,Sentence 299,from,IN,O
3758,Sentence 299,atlanta,NN,B-fromloc
3759,Sentence 299,to,TO,O
3760,Sentence 299,philadelphia,VB,B-toloc
3761,Sentence 300,show,NN,O
3762,Sentence 300,all,DT,O
3763,Sentence 300,flights,NNS,O
3764,Sentence 300,and,CC,O
3765,Sentence 300,fares,NNS,O
3766,Sentence 300,from,IN,O
3767,Sentence 300,pittsburgh,NN,B-fromloc
3768,Sentence 300,to,TO,O
3769,Sentence 300,san,VB,B-toloc
3770,Sentence 300,francisco,NN,I-toloc
3771,Sentence 301,show,NN,O
3772,Sentence 301,flight,NN,O
3773,Sentence 301,and,CC,O
3774,Sentence 301,prices,NNS,O
3775,Sentence 301,kansas,VBP,B-fromloc
3776,Sentence 301,city,NN,I-fromloc
3777,Sentence 301,to,TO,O
3778,Sentence 301,chicago,VB,B-toloc
3779,Sentence 301,on,IN,O
3780,Sentence 301,next,JJ,B-depart_date.date_relative
3781,Sentence 301,wednesday,NN,B-depart_date.day_name
3782,Sentence 301,arriving,VBG,O
3783,Sentence 301,in,IN,O
3784,Sentence 301,chicago,NN,B-toloc
3785,Sentence 301,by,IN,B-arrive_time.time_relative
3786,Sentence 301,7,CD,B-arrive_time.time
3787,Sentence 301,pm,NN,I-arrive_time.time
3788,Sentence 302,all,DT,O
3789,Sentence 302,flights,NNS,O
3790,Sentence 302,and,CC,O
3791,Sentence 302,fares,NNS,O
3792,Sentence 302,from,IN,O
3793,Sentence 302,denver,NN,B-fromloc
3794,Sentence 302,to,TO,O
3795,Sentence 302,pittsburgh,VB,B-toloc
3796,Sentence 302,on,IN,O
3797,Sentence 302,us,PRP,B-airline_name
3798,Sentence 302,air,NN,I-airline_name
3799,Sentence 302,number,NN,O
3800,Sentence 302,1039,CD,B-flight_number
3801,Sentence 302,on,IN,O
3802,Sentence 302,a,DT,O
3803,Sentence 302,thursday,NN,B-depart_date.day_name
3804,Sentence 303,all,DT,O
3805,Sentence 303,flights,NNS,O
3806,Sentence 303,and,CC,O
3807,Sentence 303,fares,NNS,O
3808,Sentence 303,from,IN,O
3809,Sentence 303,atlanta,NN,B-fromloc
3810,Sentence 303,to,TO,O
3811,Sentence 303,dallas,VB,B-toloc
3812,Sentence 303,round,NN,B-round_trip
3813,Sentence 303,trip,NN,I-round_trip
3814,Sentence 303,after,IN,B-depart_time.time_relative
3815,Sentence 303,12,CD,B-depart_time.time
3816,Sentence 303,pm,NN,I-depart_time.time
3817,Sentence 303,less,JJR,B-cost_relative
3818,Sentence 303,than,IN,O
3819,Sentence 303,1100,CD,B-fare_amount
3820,Sentence 303,dollars,NNS,I-fare_amount
3821,Sentence 304,i,NNS,O
3822,Sentence 304,need,VBP,O
3823,Sentence 304,a,DT,O
3824,Sentence 304,round,NN,B-round_trip
3825,Sentence 304,trip,NN,I-round_trip
3826,Sentence 304,flight,NN,O
3827,Sentence 304,from,IN,O
3828,Sentence 304,san,JJ,B-fromloc
3829,Sentence 304,diego,NN,I-fromloc
3830,Sentence 304,to,TO,O
3831,Sentence 304,washington,VB,B-toloc
3832,Sentence 304,dc,NN,B-toloc
3833,Sentence 304,and,CC,O
3834,Sentence 304,the,DT,O
3835,Sentence 304,fares,NNS,O
3836,Sentence 305,list,NN,O
3837,Sentence 305,all,DT,O
3838,Sentence 305,sunday,JJ,B-depart_date.day_name
3839,Sentence 305,flights,NNS,O
3840,Sentence 305,from,IN,O
3841,Sentence 305,cleveland,NN,B-fromloc
3842,Sentence 305,to,TO,O
3843,Sentence 305,nashville,VB,B-toloc
3844,Sentence 305,and,CC,O
3845,Sentence 305,their,PRP$,O
3846,Sentence 305,fares,NNS,O
3847,Sentence 306,list,NN,O
3848,Sentence 306,all,DT,O
3849,Sentence 306,flights,NNS,O
3850,Sentence 306,and,CC,O
3851,Sentence 306,their,PRP$,O
3852,Sentence 306,fares,NNS,O
3853,Sentence 306,from,IN,O
3854,Sentence 306,memphis,NN,B-fromloc
3855,Sentence 306,to,TO,O
3856,Sentence 306,miami,VB,B-toloc
3857,Sentence 306,on,IN,O
3858,Sentence 306,a,DT,O
3859,Sentence 306,wednesday,NN,B-depart_date.day_name
3860,Sentence 306,evening,NN,B-depart_time.period_of_day
3861,Sentence 307,i,NNS,O
3862,Sentence 307,need,VBP,O
3863,Sentence 307,flight,NN,O
3864,Sentence 307,and,CC,O
3865,Sentence 307,fare,NN,O
3866,Sentence 307,information,NN,O
3867,Sentence 307,departing,VBG,O
3868,Sentence 307,from,IN,O
